,participant,gender,age,language,logical_training,trials,response,aim,comments,type
1,anon0,male,32,english,No,X_XorY_ele_catorele,1,not entirely sure. ,ty,binary
2,anon0,male,32,english,No,X_X_dog_dog,1,not entirely sure. ,ty,binary
3,anon0,male,32,english,No,XY_XorY_catele_catorele,1,not entirely sure. ,ty,binary
4,anon0,male,32,english,No,X_XandY_cat_catanddog,0,not entirely sure. ,ty,binary
5,anon0,male,32,english,No,XY_Z_catdog_ele,0,not entirely sure. ,ty,binary
6,anon0,male,32,english,No,XY_X_catele_ele,1,not entirely sure. ,ty,binary
7,anon0,male,32,english,No,XY_Z_dogele_cat,0,not entirely sure. ,ty,binary
8,anon0,male,32,english,No,X_X_cat_cat,1,not entirely sure. ,ty,binary
9,anon0,male,32,english,No,XY_XorY_catdog_catordog,1,not entirely sure. ,ty,binary
10,anon0,male,32,english,No,X_Z_ele_cat,0,not entirely sure. ,ty,binary
11,anon0,male,32,english,No,X_Z_dog_cat,0,not entirely sure. ,ty,binary
12,anon0,male,32,english,No,XY_Z_catele_dog,0,not entirely sure. ,ty,binary
13,anon0,male,32,english,No,X_Z_cat_dog,0,not entirely sure. ,ty,binary
14,anon0,male,32,english,No,XY_XorY_dogele_dogorele,1,not entirely sure. ,ty,binary
15,anon0,male,32,english,No,XY_X_dogele_ele,1,not entirely sure. ,ty,binary
16,anon0,male,32,english,No,X_X_ele_ele,1,not entirely sure. ,ty,binary
17,anon0,male,32,english,No,X_XandY_dog_catanddog,0,not entirely sure. ,ty,binary
18,anon0,male,32,english,No,X_XorY_cat_catorele,1,not entirely sure. ,ty,binary
19,anon0,male,32,english,No,X_XandY_cat_catandele,0,not entirely sure. ,ty,binary
20,anon0,male,32,english,No,XY_X_dogele_dog,1,not entirely sure. ,ty,binary
21,anon0,male,32,english,No,XY_XandY_catdog_catanddog,1,not entirely sure. ,ty,binary
22,anon0,male,32,english,No,XY_XandY_catele_catandele,1,not entirely sure. ,ty,binary
23,anon0,male,32,english,No,X_XorY_dog_catordog,1,not entirely sure. ,ty,binary
24,anon0,male,32,english,No,XY_XandY_dogele_dogandele,1,not entirely sure. ,ty,binary
25,anon1,male,27,english,No,X_Z_cat_dog,0,to give commands,n.a,quatenary
26,anon1,male,27,english,No,X_XandY_ele_dogandele,3,to give commands,n.a,quatenary
27,anon1,male,27,english,No,X_XandY_cat_catandele,0,to give commands,n.a,quatenary
28,anon1,male,27,english,No,XY_XandY_catele_catandele,3,to give commands,n.a,quatenary
29,anon1,male,27,english,No,XY_Z_catele_dog,0,to give commands,n.a,quatenary
30,anon1,male,27,english,No,X_Z_ele_cat,0,to give commands,n.a,quatenary
31,anon1,male,27,english,No,XY_XorY_catele_catorele,2,to give commands,n.a,quatenary
