"","Estimate","Est.Error","2.5%ile","97.5%ile"
"Intercept",-1.92905435323901,1.99521371219304,-5.56208121460546,2.07658011003539
"definitionweak",0.516760434394135,1.76259234973124,-2.3279449779015,4.02844431527148
"response_typequaternary",-5.46622623046596,2.90622876661938,-11.2055992461934,-0.106543953284238
"response_typequinary",-6.19440602137248,2.47180795592635,-11.7853324381088,-1.95075821189194
"response_typeternary",-2.35364917480797,3.16819767990378,-8.70323871989517,3.03817318387002
"logical_trainingYes",-5.46910447661049,10.792128893894,-30.8641411472497,13.2237672959711
"definitionweak:response_typequaternary",9.11756554712294,2.79397322855031,4.38648470276118,15.1263008369262
"definitionweak:response_typequinary",8.66056416355968,2.64589865691838,4.78159499079873,14.0057609462841
"definitionweak:response_typeternary",1.89738564853887,1.90497116702632,-1.75909052431227,5.79595400913451
"definitionweak:logical_trainingYes",-0.576511963310551,5.36573961120032,-11.5468084542503,9.87978102292163
"response_typequaternary:logical_trainingYes",-449.957852156817,453.300638833877,-1731.18916517424,-31.2754377340677
"response_typequinary:logical_trainingYes",-14.3456708716907,21.6893123366515,-66.781687663446,19.4216333929966
"response_typeternary:logical_trainingYes",-12.3545487540873,15.1856002554084,-48.0227675757656,13.1469223791694
"definitionweak:response_typequaternary:logical_trainingYes",455.021175186463,453.304193036748,33.8027653541827,1729.63096023969
"definitionweak:response_typequinary:logical_trainingYes",48.3744168157028,30.9596582975699,8.44599892355185,126.817962912923
"definitionweak:response_typeternary:logical_trainingYes",4.24675398165176,8.0749285415482,-11.6440065095864,21.1813678195916
