participant,gender,age,language,logical_training,trial_type,card_type,guess_type,card,guess,response,aim,comments,response_type,order,duration
anon0,male,32,english,No,X_XorY,X,XorY,ele,catorele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_X,X,X,dog,dog,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_XorY,XY,XorY,catele,catorele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_XandY,X,XandY,cat,catanddog,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_Z,XY,Z,catdog,ele,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_X,XY,X,catele,ele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_Z,XY,Z,dogele,cat,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_X,X,X,cat,cat,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_XorY,XY,XorY,catdog,catordog,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_Z,X,Z,ele,cat,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_Z,X,Z,dog,cat,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_Z,XY,Z,catele,dog,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_Z,X,Z,cat,dog,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_XorY,XY,XorY,dogele,dogorele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_X,XY,X,dogele,ele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_X,X,X,ele,ele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_XandY,X,XandY,dog,catanddog,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_XorY,X,XorY,cat,catorele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_XandY,X,XandY,cat,catandele,wrong,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_X,XY,X,dogele,dog,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_XandY,XY,XandY,catdog,catanddog,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_XandY,XY,XandY,catele,catandele,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,X_XorY,X,XorY,dog,catordog,right,not entirely sure.,ty,binary,NA,NA
anon0,male,32,english,No,XY_XandY,XY,XandY,dogele,dogandele,right,not entirely sure.,ty,binary,NA,NA
anon1,male,27,english,No,X_Z,X,Z,cat,dog,wrong,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_XandY,X,XandY,ele,dogandele,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_XandY,X,XandY,cat,catandele,wrong,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_XandY,XY,XandY,catele,catandele,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_Z,XY,Z,catele,dog,wrong,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_Z,X,Z,ele,cat,wrong,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_XorY,XY,XorY,catele,catorele,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_XorY,X,XorY,dog,dogorele,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_XandY,X,XandY,dog,catanddog,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_XorY,X,XorY,cat,catorele,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_XorY,XY,XorY,dogele,dogorele,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_Z,X,Z,dog,ele,wrong,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_XandY,XY,XandY,catdog,catanddog,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_XorY,X,XorY,dog,catordog,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_XandY,XY,XandY,dogele,dogandele,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_Z,XY,Z,dogele,cat,wrong,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_XorY,XY,XorY,catdog,catordog,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_X,X,X,dog,dog,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_Z,XY,Z,catdog,ele,wrong,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_X,XY,X,dogele,dog,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_X,XY,X,catdog,dog,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,XY_X,XY,X,dogele,ele,kinda right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_X,X,X,cat,cat,right,to give commands,n.a,quatenary,NA,NA
anon1,male,27,english,No,X_X,X,X,ele,ele,right,to give commands,n.a,quatenary,NA,NA
anon10,male,35,english,No,XY_XorY,XY,XorY,dogele,dogorele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_X,X,X,ele,ele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_Z,X,Z,cat,dog,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_Z,XY,Z,catele,dog,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_X,X,X,cat,cat,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_XandY,XY,XandY,catele,catandele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_X,XY,X,dogele,ele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_XandY,X,XandY,dog,dogandele,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_Z,X,Z,ele,cat,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_XandY,XY,XandY,dogele,dogandele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_X,X,X,dog,dog,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_Z,X,Z,dog,cat,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_X,XY,X,catdog,dog,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_XorY,XY,XorY,catele,catorele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_X,XY,X,dogele,dog,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_XandY,X,XandY,ele,catandele,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_XorY,XY,XorY,catdog,catordog,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_XandY,XY,XandY,catdog,catanddog,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_XorY,X,XorY,cat,catorele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_XandY,X,XandY,dog,catanddog,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_XorY,X,XorY,ele,catorele,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_Z,XY,Z,dogele,cat,wrong,unsure,none,binary,NA,NA
anon10,male,35,english,No,X_XorY,X,XorY,dog,catordog,right,unsure,none,binary,NA,NA
anon10,male,35,english,No,XY_Z,XY,Z,catdog,ele,wrong,unsure,none,binary,NA,NA
anon11,female,27,English,No,XY_XorY,XY,XorY,dogele,dogorele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_X,X,X,cat,cat,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_XandY,X,XandY,dog,dogandele,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_Z,X,Z,dog,cat,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_XandY,X,XandY,ele,dogandele,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_X,XY,X,dogele,ele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_Z,X,Z,dog,ele,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_XandY,X,XandY,ele,catandele,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_XandY,XY,XandY,dogele,dogandele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_X,XY,X,catele,cat,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_Z,XY,Z,catele,dog,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_XorY,X,XorY,cat,catorele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_XorY,X,XorY,dog,catordog,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_XorY,XY,XorY,catele,catorele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_Z,XY,Z,catdog,ele,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_XandY,XY,XandY,catdog,catanddog,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_Z,X,Z,ele,cat,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_X,XY,X,catele,ele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_X,X,X,dog,dog,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_XorY,X,XorY,ele,catorele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,X_X,X,X,ele,ele,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_Z,XY,Z,dogele,cat,wrong,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_XorY,XY,XorY,catdog,catordog,right,And vs or,no,binary,NA,NA
anon11,female,27,English,No,XY_XandY,XY,XandY,catele,catandele,right,And vs or,no,binary,NA,NA
anon12,male,28,english,No,XY_Z,XY,Z,catdog,ele,wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_XandY,X,XandY,dog,catanddog,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_XandY,X,XandY,ele,dogandele,kinda wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_Z,XY,Z,dogele,cat,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_XandY,XY,XandY,catdog,catanddog,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_Z,X,Z,ele,dog,kinda wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_XorY,X,XorY,dog,dogorele,right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_X,XY,X,catdog,cat,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_Z,X,Z,cat,dog,wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_Z,XY,Z,catele,dog,wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_Z,X,Z,cat,ele,wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_X,X,X,dog,dog,wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_XorY,XY,XorY,catdog,catordog,wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_XandY,XY,XandY,dogele,dogandele,wrong,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_XorY,XY,XorY,catele,catorele,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_XorY,X,XorY,dog,catordog,right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_X,X,X,cat,cat,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_X,XY,X,catdog,dog,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_XandY,X,XandY,cat,catandele,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_XorY,X,XorY,cat,catorele,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_XorY,XY,XorY,dogele,dogorele,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_XandY,XY,XandY,catele,catandele,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,X_X,X,X,ele,ele,kinda right,not really sure,NA,quatenary,NA,NA
anon12,male,28,english,No,XY_X,XY,X,dogele,ele,kinda wrong,not really sure,NA,quatenary,NA,NA
anon14,male,35,English,Yes,XY_X,XY,X,catdog,dog,right,something to do with logic,"no, thank you.",binary,NA,NA
